이름,ZZZ 에이전트,대분류,소분류,피해유형,부가효과,소모 자원,리액션 태그,전용 버프,시너지
캣워크,네코미야,핵심스킬,추가 능력,물리 피해,"강화특수스킬피해증가, 파티원피해증가",,,,"속성시너지-물리, 진영시너지"
살금살금 고양이 걸음,네코미야,핵심스킬,핵심 패시브,물리 피해,피해증가,,,,
발톱 강습,네코미야,궁극기,궁극기,물리 피해,무적판정,데시벨,,,
발톱 휘두르기,네코미야,콤보공격,콤보 스킬,물리 피해,무적판정,,,,
앙~칼진 기습!,네코미야,특수스킬,강화특수스킬-탭,물리 피해,무적판정,에너지,,,
기습,네코미야,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
재빠른 그림자,네코미야,지원스킬,지원 돌격,물리 피해,"무적판정, 패링",,,,
스트레스 방어,네코미야,지원스킬,패링 지원,-,"무적판정, 패링",,,,
발톱 좀 빌릴게,네코미야,지원스킬,빠른 지원,물리 피해,무적판정,,,,
허영의 발톱,네코미야,회피스킬,회피 반격,물리 피해,무적판정,,,,
어디 보는 거냐?,네코미야,회피스킬,대시공격,물리 피해,,,,,
안 맞지옹~,네코미야,회피스킬,회피,-,무적판정,,,,
적색 칼날,네코미야,일반공격,일반공격-홀드,물리 피해,,,,,
냥냥 할퀴기,네코미야,일반공격,일반공격-탭,물리 피해,,,,,
기사 클랜,빌리,핵심스킬,추가 능력,-,궁극기피해증가,,,,"속성시너지-물리, 진영시너지"
안정 사격,빌리,핵심스킬,핵심 패시브,-,피해증가,,,,
"스타라이트, 여기서 반짝인다!",빌리,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
"스타라이트, 영광의 환영",빌리,콤보공격,콤보 공격,물리 피해,무적판정,,,,
스위퍼 타임,빌리,특수스킬,강화특수스킬-탭,물리 피해,무적판정,에너지,,,
얌전히 있어,빌리,특수스킬,특수스킬-탭,물리 피해,경직저항증가,,,,
급소 사격,빌리,지원스킬,지원 돌격,물리 피해,무적판정,,,,
플래시 스텝,빌리,지원스킬,회피 지원,-,"무적판정, 패링",,,,
스타라이트-파트너의 힘,빌리,지원스킬,빠른 지원,물리 피해,무적판정,,,,
공평한 결투,빌리,회피스킬,회피 반격,물리 피해,무적판정,,,,
별-빛-제-재,빌리,회피스킬,대시공격,물리 피해,,,,,
아슬아슬했어,빌리,회피스킬,회피,-,무적판정,,,,
화력 전개,빌리,일반공격,일반공격-홀드,물리 피해,,,,,
추가 능력: 통점,제인,핵심스킬,추가 능력,-,,,,,"진영시너지, 클래스 시너지-이상"
핵심 패시브: 통찰,제인,핵심스킬,핵심 패시브,-,,,,,
궁극기: 피날레,제인,콤보공격,궁극기,물리 피해,무적판정,,,열광적몰입,
콤보 스킬: 죄악의 꽃,제인,콤보공격,콤보 스킬,물리 피해,무적판정,,,열광적몰입,
강화특수스킬-탭: 공중 도약-휩쓸기,제인,특수스킬,강화특수스킬-탭,물리 피해,무적판정,,,열광적몰입,
특수스킬-탭: 공중 도약,제인,특수스킬,특수스킬-탭,물리 피해,,,,열광적몰입,
지원 돌격: 돌풍 휩쓸기,제인,지원스킬,지원 돌격,물리 피해,"높은그로기배율, 무적판정, 패링",,,열광적몰입,
패링 지원: 마지막 방어선,제인,지원스킬,패링 지원,물리 피해,"높은그로기배율, 무적판정, 패링",,,열광적몰입,
빠른 지원: 루츠 점프,제인,지원스킬,빠른 지원,물리 피해,무적판정,,,열광적몰입,
빠른 지원: 검은 가시,제인,지원스킬,빠른 지원,물리 피해,무적판정,,,열광적몰입,
회피 반격: 재빠른 그림자의 춤,제인,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,열광적몰입,
회피 반격: 재빠른 그림자,제인,회피스킬,회피 반격,물리 피해,"높은그로기배율, 무적판정",,,열광적몰입,
대시공격: 허상 찌르기,제인,회피스킬,대시공격,물리 피해,,,,열광적몰입,
대시공격: 에지 점프,제인,회피스킬,대시공격,물리 피해,,,,열광적몰입,
회피: 잔영,제인,회피스킬,회피,-,무적판정,,,열광적몰입,
일반공격-홀드: 살코 점프,제인,일반공격,일반공격-홀드,물리 피해,"경직저항증가, 무적판정",,,,
일반공격-탭: 열광(Passion),제인,일반공격,일반공격-탭,-,"공격력증가, 이상축적",,,,열광적몰입
일반공격-탭: 춤추는 칼날,제인,일반공격,일반공격-탭,물리 피해,,,,,
추가 능력: 치솟는 전의,카이사르,핵심스킬,추가 능력,-,적 받는피해 증가,,,,지원스킬시너지-패링지원
핵심 패시브: 강인한 벽,카이사르,핵심스킬,핵심 패시브,-,"파티경직저항증가, 파티공격력증가",,,실드-영광의방패,
궁극기: 폭군의 맹격,카이사르,콤보공격,궁극기,물리 피해,무적판정,데시벨,,,
콤보 스킬: 난폭운전,카이사르,콤보공격,콤보 스킬,물리 피해,무적판정,,,,
강화특수스킬-탭: 초강력 방패 공격,카이사르,특수스킬,강화특수스킬-탭,물리 피해,"무적판정, 패링",,,,
강화특수스킬-탭: 패링 반격,카이사르,특수스킬,강화특수스킬-탭,물리 피해,무적판정,,,,
특수스킬-탭: 공수 전환,카이사르,특수스킬,특수스킬-탭,-,"경직저항증가, 패링",,,,
특수스킬-탭: 굉음의 직격,카이사르,특수스킬,특수스킬-탭,물리 피해,"경직저항증가, 무적판정",,,,
특수스킬-탭: 뒤흔드는 방패,카이사르,특수스킬,특수스킬-탭,물리 피해,무적판정,,,,
지원 돌격: 지원의 선봉,카이사르,지원스킬,지원 돌격,물리 피해,"무적판정, 패링",,,,
패링 지원: 수호의 방패,카이사르,지원스킬,패링 지원,물리 피해,"무적판정, 패링",,,,
